"country","revenue"
"United Kingdom","17712301.64"
"EIRE","664431.78"
"Netherlands","554232.34"
"Germany","431262.46"
"France","356944.60"
"Australia","169968.11"
"Spain","109178.53"
"Switzerland","101011.29"
"Sweden","91903.72"
"Denmark","69862.19"
"Belgium","65753.42"
"Norway","60109.62"
"Portugal","58016.65"
"Japan","47138.39"
"Channel Islands","44996.76"
"Italy","32550.42"
"Finland","29925.54"
"Singapore","25317.06"
"Cyprus","24980.13"
"Hong Kong","23894.32"
"Austria","23613.01"
"Greece","19096.19"
"Israel","11334.66"
"United Arab Emirates","11097.63"
"Unspecified","10936.01"
"Poland","10902.45"
"USA","8366.86"
"Malta","8099.09"
"Lithuania","6553.74"
"Iceland","5633.32"
"Canada","4883.04"
"RSA","4804.32"
"Bahrain","3109.79"
"Thailand","3070.54"
"Lebanon","1905.58"
"Brazil","1411.87"
"European Community","1300.25"
"Bermuda","1253.14"
"Korea","1118.51"
"Czech Republic","826.74"
"West Indies","536.41"
"Saudi Arabia","145.92"
"Nigeria","140.39"
